iter	TotalF1	MultiClass
547	0.9637805175	0.1310217772
548	0.9638914089	0.1309344796
549	0.9640022237	0.1308360162
550	0.9638913315	0.1307766284
551	0.9638913315	0.1306973113
552	0.9641132883	0.1305985641
553	0.9640024721	0.1305410294
554	0.9640024721	0.1304958279
555	0.9641133584	0.1303796874
556	0.9642244898	0.1302765259
557	0.9643351025	0.1301877778
558	0.9643351025	0.1300404078
559	0.9643351025	0.1299722632
560	0.9643351025	0.1299308682
561	0.9643351025	0.1298665275
562	0.9643351025	0.1297954296
563	0.9643351025	0.1297305891
564	0.9643351025	0.1295713361
565	0.9644464638	0.1294627723
566	0.9644464638	0.1293824256
567	0.9644464638	0.1293224425
568	0.9645580627	0.1292482363
569	0.9645580627	0.1291779309
570	0.9645580627	0.1290779964
571	0.9646696636	0.1287978819
572	0.9646688896	0.1286907297
573	0.9646688896	0.1286402797
574	0.9646688896	0.1285712778
575	0.9646688896	0.1284907188
576	0.9646688896	0.1283821886
577	0.964556898	0.1281163988
578	0.9646688896	0.1279790783
579	0.9646688896	0.1278758699
580	0.9646688896	0.1278322902
581	0.9646688896	0.1277351659
582	0.9646688896	0.1276768316
583	0.9646688896	0.1276301794
584	0.9645585478	0.1274821874
585	0.9645572899	0.1273757174
586	0.9647786749	0.1272640411
587	0.9647798659	0.1272048711
588	0.9647798659	0.1271243666
589	0.9646678522	0.1270573181
590	0.9650034608	0.1269236895
591	0.9648918805	0.1268465194
592	0.9648918805	0.1267070305
593	0.9650034608	0.1266340917
594	0.9650034608	0.1265863025
595	0.9650034608	0.1265184156
596	0.9651142195	0.1263879556
597	0.9650026605	0.1263343396
598	0.9652249909	0.1262802679
599	0.9653359188	0.1262116059
600	0.9651139669	0.1260845139
601	0.9653359188	0.1260200139
602	0.9653363259	0.1259541876
603	0.9652257804	0.1257744837
604	0.9652265289	0.1257045529
605	0.9652265289	0.1256324823
606	0.9653374575	0.1255761764
607	0.9653379445	0.1255346319
608	0.9652270158	0.1253200401
609	0.9652270158	0.1252862818
610	0.9654483799	0.1251905789
611	0.9654483799	0.1251325865
612	0.9654483799	0.1250506707
613	0.9653380221	0.124924514
614	0.9654489507	0.1247317796
615	0.9654489507	0.1246505247
616	0.9656706887	0.1245417227
617	0.965670508	0.1244528753
618	0.965670508	0.124158206
619	0.965670508	0.1240930256
620	0.965670508	0.1237850258
621	0.965670508	0.123656263
622	0.965670508	0.1235502243
623	0.965670508	0.1235066528
624	0.965670508	0.1234571943
625	0.965670508	0.1232969628
626	0.9658920038	0.1231758402
627	0.9658920038	0.1231388687
628	0.9657812496	0.1230939773
629	0.9657812496	0.1229789271
630	0.9657812496	0.1228321386
631	0.9658922075	0.1227551375
632	0.9658922075	0.1226962155
633	0.9658922075	0.1226409656
634	0.9658922075	0.1225830089
635	0.9658922075	0.1225452768
636	0.9658922075	0.1224889085
637	0.9658922075	0.1223598935
638	0.9657818699	0.1222060414
639	0.9660031509	0.1221534535
640	0.9660031509	0.1220728627
641	0.9660031509	0.1219536272
642	0.9661139079	0.1216781978
643	0.9662248528	0.1216232245
644	0.9662250243	0.1215250365
645	0.9663357832	0.1214539326
646	0.966446439	0.121310667
647	0.966446439	0.1211851056
648	0.966446439	0.1211225689
649	0.9665576393	0.1209969986
650	0.9664469835	0.1208964753
651	0.9664469835	0.1208635121
652	0.9664469835	0.1207855569
653	0.9664469835	0.120735943
654	0.9664469835	0.1206711945
655	0.9664469835	0.1205968675
656	0.9664469835	0.1205568676
657	0.9664469835	0.1205222902
658	0.9665590509	0.1204556087
659	0.9665590509	0.1204006517
660	0.9666711194	0.1202650012
661	0.9666711194	0.1201942955
662	0.9666711194	0.1201069607
663	0.9666711194	0.1200058075
664	0.966782036	0.1199330685
665	0.9666699668	0.1198686446
666	0.966782036	0.1198323023
667	0.966782036	0.1197553925
668	0.9666711194	0.1196327624
669	0.9666711194	0.119556451
670	0.9666711194	0.1195001878
671	0.9666711194	0.1193982049
672	0.9665590509	0.1192636705
673	0.9665590509	0.1192279195
674	0.9665590509	0.1191087077
675	0.9665590509	0.1190405881
676	0.9665583832	0.1188273846
677	0.9666693181	0.1186288718
678	0.9666693181	0.1185654888
679	0.9667813877	0.1185081465
680	0.9668934583	0.1184151089
681	0.9668939206	0.1183705821
682	0.9667807337	0.1183087382
683	0.9668928048	0.1182688375
684	0.9668928048	0.1181743139
685	0.9668928048	0.1180026989
686	0.9668928048	0.117945178
687	0.9670048768	0.1179110071
688	0.9670048768	0.1178528558
689	0.9670048768	0.1178055803
690	0.9670048768	0.1177205596
691	0.9670048768	0.1176523573
692	0.9672290239	0.1175722469
693	0.9673399766	0.1175288508
694	0.9673399766	0.1174673601
695	0.9673399766	0.1174174492
696	0.9673399766	0.1173683142
697	0.9675631039	0.1173137102
698	0.9676743875	0.1172102041
699	0.9675634588	0.1171361315
700	0.9676743875	0.1169646702
701	0.9675631039	0.1168317424
702	0.9675631039	0.1168037361
703	0.9675631039	0.1167234009
704	0.9677852652	0.1166168545
705	0.9677841749	0.1165051581
706	0.9678956341	0.1164807393
707	0.9678956341	0.1164295482
708	0.9678956341	0.1162328524
709	0.9678956341	0.116175406
710	0.9677852652	0.1161203515
711	0.9678956341	0.1160200472
712	0.9677849486	0.1159657395
713	0.9678956341	0.1158820399
714	0.9678956341	0.1158641001
715	0.9678956341	0.1158348793
716	0.9678956341	0.1158117056
717	0.9681183751	0.1157076794
718	0.9680059898	0.1156432141
719	0.9681174451	0.1155222051
720	0.9681174451	0.115489235
721	0.9681174451	0.1154026722
722	0.9682287315	0.1153169183
723	0.9682287315	0.1152302356
724	0.9682287315	0.1151900089
725	0.9682287315	0.1150615689
726	0.9682287315	0.1150325335
727	0.9682287315	0.1148803847
728	0.9681166075	0.1148165644
729	0.9681166075	0.1147703102
730	0.9682287315	0.1146498054
731	0.9681166075	0.1145814813
732	0.9681166075	0.1144934081
733	0.9681166075	0.1144457208
734	0.9681166075	0.1144215577
735	0.9681166075	0.1143913656
736	0.9681166075	0.1143189363
737	0.9681166075	0.1142886928
738	0.9681166075	0.1141690716
739	0.9681166075	0.1140760236
740	0.9681166075	0.113961237
741	0.9682287315	0.113824677
742	0.9682287315	0.1137231605
743	0.9682287315	0.1134988063
744	0.9682287315	0.1134019229
745	0.9682287315	0.1131873802
746	0.9681166075	0.113146836
747	0.9681166075	0.1131223862
748	0.9682287315	0.1130046531
749	0.9681166075	0.1129153232
750	0.9681166075	0.1128795418
751	0.9682280583	0.1128504853
752	0.9683401837	0.1128038765
753	0.9683401837	0.1127090221
754	0.9682287315	0.1124477117
755	0.9682287315	0.1124146086
756	0.9681166075	0.1122976576
757	0.9682280583	0.1122155892
758	0.9681166075	0.1120917301
759	0.9681166075	0.1120498671
760	0.9682273041	0.1119555493
761	0.9682280583	0.1118051448
762	0.9685612987	0.1116597681
763	0.9686723937	0.1115946025
764	0.9685609932	0.1115010724
765	0.9685607567	0.1114468632
766	0.9686721765	0.1113204476
767	0.9687835925	0.1112080272
768	0.968895159	0.1110852059
769	0.9687837422	0.1110122566
770	0.9687837422	0.1109898819
